date,temp_max,temp_min,temp_mean,precipitation
2023-11-08,12.8,-0.4,6.2,0.0
2023-11-09,18.0,4.2,10.4,3.6
2023-11-10,6.9,-0.6,2.3,0.0
2023-11-11,4.2,-3.2,-0.1,0.0
2023-11-12,3.4,-4.4,-0.8,0.0
2023-11-13,4.5,-4.9,-0.7,0.0
2023-11-14,8.1,-2.7,2.6,0.0
2023-11-15,10.7,-1.9,4.4,0.0
2023-11-16,7.5,2.5,5.1,9.5
2023-11-17,3.9,-3.5,0.6,0.5
2023-11-18,4.0,-4.6,-1.3,0.0
2023-11-19,12.6,-3.4,3.8,0.2
2023-11-20,8.8,-2.3,3.0,0.0
2023-11-21,11.3,-1.4,3.8,0.0
2023-11-22,12.6,0.0,5.7,0.0
2023-11-23,13.0,1.4,8.9,0.4
2023-11-24,0.4,-5.3,-2.8,0.0
2023-11-25,0.6,-6.8,-3.5,0.0
2023-11-26,5.4,-1.7,1.6,0.0
2023-11-27,8.7,3.7,5.3,3.6
2023-11-28,3.2,-4.2,-0.8,0.0
2023-11-29,0.1,-5.8,-2.7,0.1
2023-11-30,-2.1,-7.7,-5.3,0.0
2023-12-01,0.6,-7.1,-4.1,0.0
2023-12-02,6.3,-5.6,-0.1,0.2
2023-12-03,3.3,-5.6,-1.6,0.0
2023-12-04,6.8,-4.9,-0.5,0.0
2023-12-05,9.5,0.8,4.1,0.0
2023-12-06,9.4,-0.2,4.6,11.1
2023-12-07,10.5,-3.1,4.0,0.0
2023-12-08,15.6,3.6,9.1,0.0
2023-12-09,15.3,7.4,10.7,0.2
2023-12-10,13.9,2.1,7.7,0.1
2023-12-11,10.2,3.4,7.8,14.3
2023-12-12,7.7,1.3,4.0,0.8
2023-12-13,10.0,-1.9,4.2,0.6
2023-12-14,7.2,5.4,6.5,19.8
2023-12-15,5.3,3.1,4.5,18.9
2023-12-16,2.9,-10.9,-4.0,0.4
2023-12-17,-7.0,-12.8,-10.3,0.0
2023-12-18,-3.6,-11.0,-7.7,0.0
2023-12-19,0.0,-8.1,-4.3,0.0
2023-12-20,-3.9,-11.4,-7.6,0.1
2023-12-21,-8.1,-14.5,-11.8,0.0
2023-12-22,-8.1,-14.9,-12.0,0.0
2023-12-23,-2.4,-12.2,-7.9,0.0
2023-12-24,1.0,-5.4,-3.5,0.6
2023-12-25,1.9,-6.2,-2.7,0.5
2023-12-26,6.0,-5.3,-0.8,0.0
2023-12-27,5.5,-6.5,-0.9,0.0
2023-12-28,4.5,-3.7,-0.4,0.0
2023-12-29,4.5,-3.5,-0.1,0.0
2023-12-30,1.2,-3.9,-0.8,11.4
2023-12-31,5.4,-2.4,1.4,2.2
2024-01-01,6.7,-3.6,0.7,0.0
2024-01-02,4.0,-1.7,1.0,0.1
2024-01-03,3.1,-3.7,-0.2,0.1
2024-01-04,5.2,-5.6,-0.6,0.0
2024-01-05,8.0,-2.0,2.6,0.6
2024-01-06,3.5,-6.3,-1.9,0.4
2024-01-07,-2.7,-9.0,-5.5,0.0
2024-01-08,-1.8,-10.0,-6.1,0.0
2024-01-09,1.0,-3.4,-1.2,2.4
2024-01-10,3.7,-6.9,-2.8,0.0
2024-01-11,4.8,-6.1,-1.4,0.0
2024-01-12,3.3,-6.4,-2.1,0.0
2024-01-13,3.2,-6.6,-2.9,0.0
2024-01-14,3.4,-5.8,-2.1,2.7
2024-01-15,0.6,-8.5,-5.0,0.0
2024-01-16,2.1,-8.6,-3.9,0.0
2024-01-17,1.1,-5.7,-1.6,7.7
2024-01-18,9.8,-0.7,2.7,1.0
2024-01-19,7.4,0.9,3.2,0.0
2024-01-20,4.0,0.4,1.7,2.2
2024-01-21,2.5,-3.0,0.6,0.1
2024-01-22,-4.2,-12.4,-8.6,0.0
2024-01-23,-9.0,-15.0,-12.3,0.0
2024-01-24,-4.3,-12.0,-8.9,0.0
2024-01-25,-0.8,-9.2,-6.0,0.0
2024-01-26,3.1,-7.5,-3.6,0.0
2024-01-27,4.1,-7.3,-2.4,0.0
2024-01-28,1.5,-6.7,-3.1,0.0
2024-01-29,3.9,-6.5,-2.4,0.0
2024-01-30,6.3,-5.8,-0.6,0.0
2024-01-31,8.8,-3.8,1.6,0.0
2024-02-01,5.6,-3.7,0.1,0.0
2024-02-02,4.9,-3.2,1.0,0.0
2024-02-03,6.8,-3.0,1.4,1.4
2024-02-04,9.3,0.8,4.1,0.0
2024-02-05,2.6,-0.9,1.4,7.6
2024-02-06,3.7,-1.8,0.5,1.0
2024-02-07,2.9,-5.7,-1.4,0.0
2024-02-08,3.5,-5.0,-1.7,0.0
2024-02-09,4.3,-4.5,-1.2,0.0
2024-02-10,6.5,-5.3,-0.9,0.0
2024-02-11,5.1,-7.1,-1.7,0.0
2024-02-12,8.6,-6.2,0.1,0.0
2024-02-13,13.0,-0.3,5.6,0.0
2024-02-14,16.3,4.0,9.3,1.0
2024-02-15,8.9,-1.6,4.4,8.6
2024-02-16,6.1,-4.8,-0.1,0.0
2024-02-17,8.4,-4.7,1.2,0.0
2024-02-18,9.2,-2.8,4.0,8.5
2024-02-19,11.9,2.1,8.8,8.6
2024-02-20,6.7,0.3,2.8,2.0
2024-02-21,2.7,0.1,1.7,15.3
2024-02-22,0.9,-2.1,-0.6,5.7
2024-02-23,5.8,-2.6,0.6,0.2
2024-02-24,6.0,-3.7,0.6,2.1
2024-02-25,5.6,-2.2,1.7,2.1
2024-02-26,8.1,-3.4,1.8,0.0
2024-02-27,8.5,-2.8,2.2,0.0
2024-02-28,7.9,1.1,3.9,0.0
2024-02-29,7.5,-1.9,2.8,0.1
2024-03-01,-1.3,-7.9,-4.9,0.0
2024-03-02,4.4,-8.3,-2.0,3.6
2024-03-03,7.6,-4.3,1.6,0.4
2024-03-04,9.0,-5.3,2.1,0.0
2024-03-05,10.5,2.5,5.3,0.6
2024-03-06,8.9,-1.3,4.0,0.0
2024-03-07,7.1,-1.3,2.6,2.1
2024-03-08,5.9,-4.3,0.1,0.0
2024-03-09,5.8,-5.6,-0.6,0.0
2024-03-10,8.3,-3.9,1.7,0.0
2024-03-11,9.6,-1.6,3.8,0.4
2024-03-12,10.0,-0.1,4.6,1.7
2024-03-13,10.5,-2.4,3.6,0.0
2024-03-14,12.9,-0.9,5.0,0.0
2024-03-15,12.4,-0.7,5.3,0.0
2024-03-16,15.4,-0.4,7.5,0.0
2024-03-17,10.1,3.4,7.0,0.1
2024-03-18,11.4,-3.2,4.0,0.0
2024-03-19,10.3,2.1,5.3,0.7
2024-03-20,7.7,-0.7,3.2,0.0
2024-03-21,9.9,-2.5,3.0,0.0
2024-03-22,15.8,0.3,7.8,16.3
2024-03-23,16.2,7.5,10.5,1.3
2024-03-24,19.3,5.3,11.9,0.0
2024-03-25,12.4,5.6,8.7,2.5
2024-03-26,12.1,1.9,6.1,12.4
2024-03-27,14.7,1.6,7.6,0.0
2024-03-28,12.0,6.6,8.8,3.0
